ID	POST
2981	1
700	0
2991	1
3001	1
3011	1
3021	1
810	0
3031	1
3051	1
3061	1
3071	1
820	0
3081	1
3131	1
3141	1
1660	0
3181	1
3201	1
980	0
1290	0
3251	1
3291	1
3361	1
3381	1
910	0
1420	0
3431	1
3461	1
3481	1
3491	1
3551	1
3581	1
3611	1
3641	1
3671	1
3801	1
3831	1
3861	1
3891	1
3911	1
1000	0
1020	0
3951	1
1080	0
1120	0
3961	1
3971	1
4001	1
4061	1
4071	1
4081	1
4161	1
4181	1
4221	1
4281	1
4291	1
4761	1
4811	1
5361	1
5411	1
5541	1
5711	1
5811	1
5971	1
6001	1
6021	1
6031	1
6071	1
6241	1
6291	1
6351	1
6401	1
6421	1
6451	1
6581	1
6701	1
6711	1
6731	1
6821	1
6841	1
6871	1
6881	1
6891	1
7311	1
8481	1
12731	1
12931	1
14931	1
18091	1
4591	1
10401	1
15661	1
15681	1
15771	1
20111	1
20491	1
20581	1
20721	1
20811	1
22051	1
1011	1
7301	1
7901	1
2530	0
2540	0
8201	1
12871	1
12981	1
13021	1
5190	0
13921	1
18031	1
4571	1
5431	1
5461	1
10341	1
10351	1
15651	1
20091	1
21531	1
21611	1
911	1
931	1
7261	1
12801	1
12821	1
5060	0
5080	0
12841	1
13851	1
18001	1
18101	1
18301	1
7180	0
18461	1
18481	1
4491	1
6541	1
10251	1
10291	1
10331	1
3910	0
4010	0
10661	1
3920	0
3930	0
10691	1
3940	0
10741	1
3950	0
10881	1
10961	1
3980	0
4000	0
10991	1
15581	1
19991	1
811	1
1281	1
410	0
1471	1
420	0
2391	1
8101	1
2560	0
7231	1
7281	1
7291	1
7471	1
7481	1
7511	1
7601	1
2310	0
2380	0
2450	0
7641	1
7681	1
2370	0
2400	0
7811	1
7951	1
2770	0
2920	0
8051	1
12761	1
12921	1
5140	0
5660	0
12941	1
5170	0
13061	1
13221	1
13241	1
13711	1
13741	1
13771	1
13891	1
13901	1
13931	1
13941	1
13971	1
14261	1
14321	1
14331	1
14451	1
14521	1
14591	1
14621	1
15951	1
6670	0
6680	0
6690	0
16131	1
16261	1
17971	1
18221	1
4301	1
4341	1
10231	1
15531	1
19961	1
20021	1
20271	1
731	1
851	1
1161	1
190	0
1190	0
1351	1
530	0
1631	1
550	0
1711	1
540	0
2121	1
710	0
3331	1
4561	1
4891	1
4951	1
6221	1
6651	1
6851	1
6861	1
10391	1
10411	1
11701	1
7211	1
7531	1
7561	1
7611	1
10461	1
12681	1
13141	1
13611	1
13641	1
5570	0
17961	1
18631	1
7370	0
18761	1
7280	0
19261	1
4231	1
4251	1
4361	1
4481	1
4551	1
4621	1
7151	1
7181	1
10051	1
10101	1
10581	1
15451	1
15491	1
15501	1
15911	1
15921	1
15961	1
15981	1
16161	1
16421	1
19951	1
20161	1
20501	1
20781	1
20821	1
21551	1
701	1
721	1
1641	1
1741	1
1821	1
1901	1
1921	1
2151	1
3931	1
4511	1
1620	0
5731	1
8461	1
10821	1
10891	1
4270	0
12321	1
12541	1
4930	0
12551	1
7201	1
7241	1
3650	0
7541	1
2410	0
7621	1
7841	1
4050	0
7851	1
9801	1
3480	0
3660	0
3960	0
9961	1
10111	1
10121	1
10131	1
10321	1
3790	0
11041	1
4040	0
12671	1
17921	1
17931	1
17981	1
4191	1
10021	1
10271	1
10421	1
10791	1
10921	1
10941	1
11151	1
13681	1
14101	1
15441	1
15511	1
6420	0
6440	0
15541	1
19911	1
691	1
7171	1
11251	1
11391	1
12571	1
12611	1
17891	1
18011	1
18061	1
4111	1
9951	1
10071	1
10091	1
3640	0
3690	0
3720	0
3990	0
15431	1
15461	1
15521	1
19831	1
20051	1
681	1
981	1
1881	1
440	0
7131	1
20431	1
20441	1
12491	1
17881	1
4101	1
4131	1
4311	1
