ID	ABSOLUTE_POS	RELATIVE_POS	ABSOLUTE_NEG	RELATIVE_NEG
280	0.0000	0.0000	0.0000	0.0000
520	2.0000	0.0189	2.0000	0.0189
1380	2.0000	0.0174	2.0000	0.0174
4451	1.0000	0.0085	1.0000	0.0085
4461	0.0000	0.0000	0.0000	0.0000
6431	1.0000	0.0063	1.0000	0.0063
7671	2.0000	0.0299	2.0000	0.0299
7691	3.0000	0.0556	3.0000	0.0556
8001	0.0000	0.0000	0.0000	0.0000
8241	4.0000	0.0184	4.0000	0.0184
2670	5.0000	0.0185	5.0000	0.0185
2700	5.0000	0.0180	5.0000	0.0180
8311	2.0000	0.0149	2.0000	0.0149
2680	3.0000	0.0199	3.0000	0.0199
2710	5.0000	0.0284	5.0000	0.0284
8321	0.0000	0.0000	0.0000	0.0000
2690	1.0000	0.0625	1.0000	0.0625
8471	3.0000	0.0268	3.0000	0.0268
8501	0.0000	0.0000	0.0000	0.0000
8661	6.0000	0.0741	6.0000	0.0741
2820	7.0000	0.0745	7.0000	0.0745
3160	8.0000	0.0755	8.0000	0.0755
8801	1.0000	0.0086	1.0000	0.0086
3090	1.0000	0.0079	1.0000	0.0079
3100	4.0000	0.0179	4.0000	0.0179
3150	5.0000	0.0191	5.0000	0.0191
3330	5.0000	0.0171	5.0000	0.0171
8811	2.0000	0.0220	2.0000	0.0220
8911	0.0000	0.0000	0.0000	0.0000
9111	2.0000	0.0192	2.0000	0.0192
9471	2.0000	0.0094	2.0000	0.0094
13401	6.0000	0.0600	6.0000	0.0600
13461	2.0000	0.0952	2.0000	0.0952
13701	1.0000	0.0400	1.0000	0.0400
13951	2.0000	0.0645	2.0000	0.0645
14951	1.0000	0.0137	1.0000	0.0137
6210	2.0000	0.0220	2.0000	0.0220
15001	0.0000	0.0000	0.0000	0.0000
15041	0.0000	0.0000	0.0000	0.0000
6250	1.0000	0.0294	1.0000	0.0294
15111	1.0000	0.0357	1.0000	0.0357
15421	3.0000	0.0833	3.0000	0.0833
18261	1.0000	0.0208	1.0000	0.0208
18331	0.0000	0.0000	0.0000	0.0000
4941	5.0000	0.0862	5.0000	0.0862
10561	0.0000	0.0000	0.0000	0.0000
10671	2.0000	0.0500	2.0000	0.0500
16021	3.0000	0.0256	3.0000	0.0256
16031	1.0000	0.0909	1.0000	0.0909
16041	0.0000	0.0000	0.0000	0.0000
16071	0.0000	0.0000	0.0000	0.0000
16091	1.0000	0.5000	1.0000	0.5000
16121	1.0000	0.0714	1.0000	0.0714
16181	0.0000	0.0000	0.0000	0.0000
16251	1.0000	0.1250	1.0000	0.1250
16311	5.0000	0.1923	5.0000	0.1923
16341	0.0000	0.0000	0.0000	0.0000
16441	1.0000	0.0833	1.0000	0.0833
16491	0.0000	0.0000	0.0000	0.0000
16501	1.0000	0.5000	1.0000	0.5000
16511	1.0000	0.0556	1.0000	0.0556
16541	2.0000	0.1429	2.0000	0.1429
16591	1.0000	0.1111	1.0000	0.1111
16831	0.0000	0.0000	0.0000	0.0000
20591	6.0000	0.0280	6.0000	0.0280
20681	0.0000	0.0000	0.0000	0.0000
7770	3.0000	0.0128	3.0000	0.0128
20801	2.0000	0.0171	2.0000	0.0171
20881	1.0000	0.0071	1.0000	0.0071
20891	7.0000	0.0288	7.0000	0.0288
21001	8.0000	0.0390	8.0000	0.0390
7800	16.0000	0.0219	16.0000	0.0219
1141	2.0000	0.0278	2.0000	0.0278
4531	1.0000	0.0250	1.0000	0.0250
7571	3.0000	0.0238	3.0000	0.0238
7651	1.0000	0.0909	1.0000	0.0909
2740	4.0000	0.1081	4.0000	0.1081
8421	1.0000	0.0345	1.0000	0.0345
8431	2.0000	0.0400	2.0000	0.0400
8441	1.0000	0.0714	1.0000	0.0714
10041	0.0000	0.0000	0.0000	0.0000
13381	0.0000	0.0000	0.0000	0.0000
13421	5.0000	0.0185	5.0000	0.0185
5400	5.0000	0.0114	5.0000	0.0114
18251	0.0000	0.0000	0.0000	0.0000
18341	2.0000	0.0500	2.0000	0.0500
18401	0.0000	0.0000	0.0000	0.0000
18411	1.0000	0.0161	1.0000	0.0161
4921	0.0000	0.0000	0.0000	0.0000
5041	0.0000	0.0000	0.0000	0.0000
1480	0.0000	0.0000	0.0000	0.0000
5131	1.0000	0.0435	1.0000	0.0435
5311	2.0000	0.0588	2.0000	0.0588
5341	0.0000	0.0000	0.0000	0.0000
6501	0.0000	0.0000	0.0000	0.0000
6551	1.0000	0.2500	1.0000	0.2500
10541	6.0000	0.0228	6.0000	0.0228
10551	8.0000	0.0195	8.0000	0.0195
10931	3.0000	0.0462	3.0000	0.0462
11021	1.0000	0.0167	1.0000	0.0167
4090	3.0000	0.0210	3.0000	0.0210
11501	1.0000	0.0089	1.0000	0.0089
11521	3.0000	0.0291	3.0000	0.0291
4110	8.0000	0.0369	8.0000	0.0369
4650	14.0000	0.0433	14.0000	0.0433
4720	21.0000	0.0438	21.0000	0.0438
11781	3.0000	0.0448	3.0000	0.0448
11961	5.0000	0.0357	5.0000	0.0357
12331	6.0000	0.0706	6.0000	0.0706
4730	7.0000	0.0753	7.0000	0.0753
12441	1.0000	0.0333	1.0000	0.0333
15931	4.0000	0.1176	4.0000	0.1176
18971	3.0000	0.2143	3.0000	0.2143
7940	5.0000	0.1429	5.0000	0.1429
19011	6.0000	0.1333	6.0000	0.1333
19111	3.0000	0.0667	3.0000	0.0667
19151	7.0000	0.0603	7.0000	0.0603
19181	1.0000	0.0357	1.0000	0.0357
7580	1.0000	0.0263	1.0000	0.0263
19191	5.0000	0.0877	5.0000	0.0877
19401	5.0000	0.0649	5.0000	0.0649
19441	2.0000	0.0741	2.0000	0.0741
19511	6.0000	0.0400	6.0000	0.0400
19571	8.0000	0.1013	8.0000	0.1013
19601	6.0000	0.1395	6.0000	0.1395
19611	9.0000	0.0573	9.0000	0.0573
19631	2.0000	0.0800	2.0000	0.0800
19641	3.0000	0.0833	3.0000	0.0833
19661	5.0000	0.0321	5.0000	0.0321
19691	1.0000	0.0312	1.0000	0.0312
19821	3.0000	0.1304	3.0000	0.1304
19851	1.0000	0.1111	1.0000	0.1111
19891	2.0000	0.0488	2.0000	0.0488
7510	3.0000	0.0517	3.0000	0.0517
19921	4.0000	0.1739	4.0000	0.1739
19941	8.0000	0.0661	8.0000	0.0661
7860	10.0000	0.0680	10.0000	0.0680
20061	5.0000	0.1923	5.0000	0.1923
20081	3.0000	0.1250	3.0000	0.1250
20121	2.0000	0.1053	2.0000	0.1053
20131	2.0000	0.1818	2.0000	0.1818
20151	10.0000	0.0877	10.0000	0.0877
20181	3.0000	0.0366	3.0000	0.0366
20191	4.0000	0.0667	4.0000	0.0667
20211	3.0000	0.0652	3.0000	0.0652
20221	2.0000	0.0833	2.0000	0.0833
20231	4.0000	0.0533	4.0000	0.0533
20251	1.0000	0.0200	1.0000	0.0200
20261	4.0000	0.1481	4.0000	0.1481
20281	1.0000	0.0294	1.0000	0.0294
20301	4.0000	0.1250	4.0000	0.1250
20311	33.0000	0.0719	33.0000	0.0719
20321	4.0000	0.0426	4.0000	0.0426
20331	10.0000	0.0980	10.0000	0.0980
20361	6.0000	0.0706	6.0000	0.0706
20371	7.0000	0.1029	7.0000	0.1029
20401	6.0000	0.1364	6.0000	0.1364
20461	11.0000	0.0866	11.0000	0.0866
20471	0.0000	0.0000	0.0000	0.0000
20651	11.0000	0.1209	11.0000	0.1209
20661	2.0000	0.0800	2.0000	0.0800
20671	5.0000	0.1786	5.0000	0.1786
20831	5.0000	0.1163	5.0000	0.1163
20911	3.0000	0.1429	3.0000	0.1429
21011	2.0000	0.1538	2.0000	0.1538
21021	5.0000	0.0500	5.0000	0.0500
21031	2.0000	0.0408	2.0000	0.0408
21131	2.0000	0.1111	2.0000	0.1111
21141	3.0000	0.1765	3.0000	0.1765
21151	15.0000	0.0487	15.0000	0.0487
21161	3.0000	0.0750	3.0000	0.0750
21171	2.0000	0.2500	2.0000	0.2500
21181	0.0000	0.0000	0.0000	0.0000
21191	1.0000	0.2500	1.0000	0.2500
21211	4.0000	0.1212	4.0000	0.1212
21271	8.0000	0.1455	8.0000	0.1455
21291	4.0000	0.1176	4.0000	0.1176
21301	2.0000	0.0714	2.0000	0.0714
21351	3.0000	0.0968	3.0000	0.0968
21361	5.0000	0.0435	5.0000	0.0435
21401	4.0000	0.1429	4.0000	0.1429
21411	6.0000	0.0368	6.0000	0.0368
21501	10.0000	0.1099	10.0000	0.1099
21511	2.0000	0.1818	2.0000	0.1818
21521	5.0000	0.1351	5.0000	0.1351
21541	2.0000	0.0667	2.0000	0.0667
21581	5.0000	0.0413	5.0000	0.0413
21591	4.0000	0.1379	4.0000	0.1379
21601	3.0000	0.1034	3.0000	0.1034
21621	4.0000	0.0615	4.0000	0.0615
21651	10.0000	0.0588	10.0000	0.0588
21671	4.0000	0.0714	4.0000	0.0714
21681	3.0000	0.0811	3.0000	0.0811
21831	4.0000	0.0388	4.0000	0.0388
21901	1.0000	0.0769	1.0000	0.0769
21941	9.0000	0.0865	9.0000	0.0865
21991	5.0000	0.0893	5.0000	0.0893
22001	8.0000	0.0606	8.0000	0.0606
22011	5.0000	0.1613	5.0000	0.1613
22021	1.0000	0.0141	1.0000	0.0141
22031	5.0000	0.0333	5.0000	0.0333
22061	8.0000	0.0702	8.0000	0.0702
22071	4.0000	0.0250	4.0000	0.0250
22081	3.0000	0.0536	3.0000	0.0536
22101	7.0000	0.0769	7.0000	0.0769
22121	2.0000	0.2222	2.0000	0.2222
22131	9.0000	0.1034	9.0000	0.1034
22141	7.0000	0.1273	7.0000	0.1273
7950	12.0000	0.0896	12.0000	0.0896
20561	11.0000	0.1196	11.0000	0.1196
20841	3.0000	0.1304	3.0000	0.1304
7780	4.0000	0.1026	4.0000	0.1026
7880	6.0000	0.1224	6.0000	0.1224
7890	6.0000	0.1111	6.0000	0.1111
20901	1.0000	0.0769	1.0000	0.0769
20921	0.0000	0.0000	0.0000	0.0000
20931	3.0000	0.1304	3.0000	0.1304
20971	5.0000	0.0685	5.0000	0.0685
20981	1.0000	0.0667	1.0000	0.0667
20991	1.0000	0.1111	1.0000	0.1111
21081	5.0000	0.1852	5.0000	0.1852
21381	1.0000	0.0152	1.0000	0.0152
21441	1.0000	0.0294	1.0000	0.0294
21451	1.0000	0.0833	1.0000	0.0833
21471	2.0000	0.0800	2.0000	0.0800
21481	2.0000	0.1000	2.0000	0.1000
21731	4.0000	0.0727	4.0000	0.0727
21911	2.0000	0.1429	2.0000	0.1429
21931	1.0000	0.2000	1.0000	0.2000
21951	5.0000	0.0781	5.0000	0.0781
21961	6.0000	0.1429	6.0000	0.1429
21971	5.0000	0.0980	5.0000	0.0980
21981	2.0000	0.2000	2.0000	0.2000
1091	4.0000	0.0460	4.0000	0.0460
1121	0.0000	0.0000	0.0000	0.0000
1191	6.0000	0.0211	6.0000	0.0211
310	7.0000	0.0240	7.0000	0.0240
1341	1.0000	0.0345	1.0000	0.0345
7441	2.0000	0.0099	2.0000	0.0099
7781	0.0000	0.0000	0.0000	0.0000
2930	1.0000	0.0667	1.0000	0.0667
3680	1.0000	0.0435	1.0000	0.0435
4200	4.0000	0.0816	4.0000	0.0816
4290	6.0000	0.0870	6.0000	0.0870
4660	9.0000	0.0514	9.0000	0.0514
4670	13.0000	0.0442	13.0000	0.0442
4700	17.0000	0.0461	17.0000	0.0461
8011	4.0000	0.0690	4.0000	0.0690
2490	6.0000	0.0638	6.0000	0.0638
2660	7.0000	0.0598	7.0000	0.0598
3540	9.0000	0.0450	9.0000	0.0450
3550	9.0000	0.0370	9.0000	0.0370
8141	2.0000	0.0328	2.0000	0.0328
4170	5.0000	0.0331	5.0000	0.0331
4190	8.0000	0.0268	8.0000	0.0268
8171	1.0000	0.1667	1.0000	0.1667
2570	1.0000	0.0323	1.0000	0.0323
2800	1.0000	0.0156	1.0000	0.0156
2840	4.0000	0.0342	4.0000	0.0342
8691	0.0000	0.0000	0.0000	0.0000
2790	1.0000	0.0400	1.0000	0.0400
8701	1.0000	0.0556	1.0000	0.0556
8881	0.0000	0.0000	0.0000	0.0000
9071	0.0000	0.0000	0.0000	0.0000
2970	0.0000	0.0000	0.0000	0.0000
2980	1.0000	0.0106	1.0000	0.0106
3000	1.0000	0.0096	1.0000	0.0096
9131	2.0000	0.0741	2.0000	0.0741
2990	4.0000	0.1053	4.0000	0.1053
9151	2.0000	0.2857	2.0000	0.2857
9181	1.0000	0.2500	1.0000	0.2500
9321	1.0000	0.0400	1.0000	0.0400
9421	1.0000	0.1429	1.0000	0.1429
9571	1.0000	0.2000	1.0000	0.2000
9591	2.0000	0.2222	2.0000	0.2222
9931	0.0000	0.0000	0.0000	0.0000
3570	0.0000	0.0000	0.0000	0.0000
4030	2.0000	0.0110	2.0000	0.0110
9971	0.0000	0.0000	0.0000	0.0000
10001	2.0000	0.2500	2.0000	0.2500
10261	2.0000	0.0526	2.0000	0.0526
10621	2.0000	0.0588	2.0000	0.0588
10731	1.0000	0.0256	1.0000	0.0256
11031	1.0000	0.0345	1.0000	0.0345
11081	2.0000	0.0714	2.0000	0.0714
11871	0.0000	0.0000	0.0000	0.0000
4260	2.0000	0.0208	2.0000	0.0208
4310	4.0000	0.0299	4.0000	0.0299
4540	7.0000	0.0366	7.0000	0.0366
4580	10.0000	0.0431	10.0000	0.0431
5820	12.0000	0.0456	12.0000	0.0456
12431	9.0000	0.0882	9.0000	0.0882
4790	12.0000	0.0759	12.0000	0.0759
15221	1.0000	0.5000	1.0000	0.5000
13161	2.0000	0.0127	2.0000	0.0127
18211	6.0000	0.0142	6.0000	0.0142
4771	0.0000	0.0000	0.0000	0.0000
4841	1.0000	0.0099	1.0000	0.0099
13131	1.0000	0.0109	1.0000	0.0109
10521	1.0000	0.0075	1.0000	0.0075
10711	1.0000	0.0125	1.0000	0.0125
4020	1.0000	0.0108	1.0000	0.0108
11051	2.0000	0.0274	2.0000	0.0274
15871	0.0000	0.0000	0.0000	0.0000
15881	3.0000	0.0060	3.0000	0.0060
20551	3.0000	0.0166	3.0000	0.0166
20601	6.0000	0.0667	6.0000	0.0667
1071	0.0000	0.0000	0.0000	0.0000
1111	0.0000	0.0000	0.0000	0.0000
1601	1.0000	0.0400	1.0000	0.0400
320	2.0000	0.0333	2.0000	0.0333
1661	1.0000	0.0286	1.0000	0.0286
380	1.0000	0.0196	1.0000	0.0196
7391	2.0000	0.0084	2.0000	0.0084
7431	1.0000	0.0092	1.0000	0.0092
7461	1.0000	0.0036	1.0000	0.0036
7521	3.0000	0.0265	3.0000	0.0265
7551	1.0000	0.0034	1.0000	0.0034
2810	1.0000	0.0024	1.0000	0.0024
7661	4.0000	0.0258	4.0000	0.0258
7761	4.0000	0.0141	4.0000	0.0141
7831	4.0000	0.0152	4.0000	0.0152
7921	0.0000	0.0000	0.0000	0.0000
2830	17.0000	0.0096	17.0000	0.0096
8601	2.0000	0.0526	2.0000	0.0526
13091	1.0000	0.0128	1.0000	0.0128
13191	4.0000	0.0142	4.0000	0.0142
13261	8.0000	0.0714	8.0000	0.0714
13371	6.0000	0.0417	6.0000	0.0417
5390	6.0000	0.0323	6.0000	0.0323
13431	1.0000	0.0263	1.0000	0.0263
14441	5.0000	0.0581	5.0000	0.0581
18181	1.0000	0.0400	1.0000	0.0400
4751	0.0000	0.0000	0.0000	0.0000
10501	0.0000	0.0000	0.0000	0.0000
15831	0.0000	0.0000	0.0000	0.0000
20341	2.0000	0.0202	2.0000	0.0202
20411	1.0000	0.2000	1.0000	0.2000
20481	0.0000	0.0000	0.0000	0.0000
20531	2.0000	0.0370	2.0000	0.0370
20571	3.0000	0.0909	3.0000	0.0909
1061	0.0000	0.0000	0.0000	0.0000
1131	1.0000	0.0154	1.0000	0.0154
1441	0.0000	0.0000	0.0000	0.0000
1451	1.0000	0.0345	1.0000	0.0345
2291	0.0000	0.0000	0.0000	0.0000
7371	3.0000	0.0143	3.0000	0.0143
13051	2.0000	0.0109	2.0000	0.0109
13571	1.0000	0.0769	1.0000	0.0769
18161	4.0000	0.0169	4.0000	0.0169
18171	3.0000	0.0411	3.0000	0.0411
7160	3.0000	0.0294	3.0000	0.0294
18191	0.0000	0.0000	0.0000	0.0000
18201	2.0000	0.0225	2.0000	0.0225
18231	6.0000	0.0353	6.0000	0.0353
18381	12.0000	0.0288	12.0000	0.0288
20741	6.0000	0.0392	6.0000	0.0392
4711	2.0000	0.0241	2.0000	0.0241
10481	3.0000	0.0227	3.0000	0.0227
10511	6.0000	0.0225	6.0000	0.0225
3840	6.0000	0.0217	6.0000	0.0217
10531	0.0000	0.0000	0.0000	0.0000
15781	2.0000	0.0317	2.0000	0.0317
17871	15.0000	0.0309	15.0000	0.0309
20241	2.0000	0.0157	2.0000	0.0157
20391	1.0000	0.0139	1.0000	0.0139
7630	1.0000	0.0083	1.0000	0.0083
1041	1.0000	0.0161	1.0000	0.0161
1081	0.0000	0.0000	0.0000	0.0000
120	0.0000	0.0000	0.0000	0.0000
140	1.0000	0.0152	1.0000	0.0152
1101	4.0000	0.0678	4.0000	0.0678
160	5.0000	0.0500	5.0000	0.0500
230	5.0000	0.0495	5.0000	0.0495
7321	3.0000	0.0349	3.0000	0.0349
7331	2.0000	0.0357	2.0000	0.0357
7351	0.0000	0.0000	0.0000	0.0000
7451	0.0000	0.0000	0.0000	0.0000
7501	0.0000	0.0000	0.0000	0.0000
7631	1.0000	0.1250	1.0000	0.1250
13041	2.0000	0.0129	2.0000	0.0129
13071	4.0000	0.0465	4.0000	0.0465
5490	5.0000	0.0455	5.0000	0.0455
13361	1.0000	0.0152	1.0000	0.0152
14961	0.0000	0.0000	0.0000	0.0000
18121	0.0000	0.0000	0.0000	0.0000
4601	3.0000	0.0126	3.0000	0.0126
10471	8.0000	0.0734	8.0000	0.0734
11651	2.0000	0.0106	2.0000	0.0106
11991	3.0000	0.0179	3.0000	0.0179
4430	4.0000	0.0221	4.0000	0.0221
12381	5.0000	0.0532	5.0000	0.0532
12391	7.0000	0.0417	7.0000	0.0417
4770	8.0000	0.0417	8.0000	0.0417
6330	11.0000	0.0406	11.0000	0.0406
6950	19.0000	0.0373	19.0000	0.0373
6960	29.0000	0.0381	29.0000	0.0381
6980	33.0000	0.0394	33.0000	0.0394
14751	5.0000	0.0253	5.0000	0.0253
6180	16.0000	0.0275	16.0000	0.0275
6200	19.0000	0.0305	19.0000	0.0305
6730	21.0000	0.0300	21.0000	0.0300
16191	0.0000	0.0000	0.0000	0.0000
16321	1.0000	0.0104	1.0000	0.0104
16861	3.0000	0.0330	3.0000	0.0330
17181	7.0000	0.0933	7.0000	0.0933
7030	16.0000	0.0865	16.0000	0.0865
17581	4.0000	0.0208	4.0000	0.0208
7020	11.0000	0.0227	11.0000	0.0227
7040	16.0000	0.0232	16.0000	0.0232
17691	3.0000	0.0545	3.0000	0.0545
15741	4.0000	0.0286	4.0000	0.0286
15761	1.0000	0.0435	1.0000	0.0435
15791	1.0000	0.0286	1.0000	0.0286
15801	0.0000	0.0000	0.0000	0.0000
6820	1.0000	0.0156	1.0000	0.0156
15971	2.0000	0.0435	2.0000	0.0435
15991	5.0000	0.0485	5.0000	0.0485
6710	5.0000	0.0237	5.0000	0.0237
6830	5.0000	0.0187	5.0000	0.0187
16001	1.0000	0.0133	1.0000	0.0133
6700	1.0000	0.0083	1.0000	0.0083
18131	1.0000	0.0263	1.0000	0.0263
20171	7.0000	0.0619	7.0000	0.0619
1031	3.0000	0.0517	3.0000	0.0517
1261	3.0000	0.1500	3.0000	0.1500
1271	0.0000	0.0000	0.0000	0.0000
1681	0.0000	0.0000	0.0000	0.0000
560	0.0000	0.0000	0.0000	0.0000
880	1.0000	0.0118	1.0000	0.0118
1640	3.0000	0.0254	3.0000	0.0254
1980	4.0000	0.0244	4.0000	0.0244
1701	3.0000	0.0517	3.0000	0.0517
2050	4.0000	0.0526	4.0000	0.0526
1791	0.0000	0.0000	0.0000	0.0000
450	0.0000	0.0000	0.0000	0.0000
990	0.0000	0.0000	0.0000	0.0000
1370	1.0000	0.0055	1.0000	0.0055
1851	0.0000	0.0000	0.0000	0.0000
1891	0.0000	0.0000	0.0000	0.0000
460	1.0000	0.0167	1.0000	0.0167
1030	3.0000	0.0200	3.0000	0.0200
1931	1.0000	0.0455	1.0000	0.0455
890	1.0000	0.0208	1.0000	0.0208
1941	0.0000	0.0000	0.0000	0.0000
1040	2.0000	0.0187	2.0000	0.0187
1110	6.0000	0.0355	6.0000	0.0355
1740	8.0000	0.0329	8.0000	0.0329
1991	2.0000	0.0588	2.0000	0.0588
2031	0.0000	0.0000	0.0000	0.0000
