ID	RELIGION	LEISURE	ACHIEVEMENT	HOME	WORK	MONEY	DEATH	
18241	0.0000	0.0000	3.2258	2.1505	3.2258	0.0000	0.0000	
19321	0.0000	0.0000	0.5464	0.5464	3.2787	0.5464	0.0000	
19381	0.0000	0.0000	1.8433	0.0000	2.7650	0.9217	0.0000	
7410	0.0000	0.0000	0.0000	0.0000	2.8571	0.0000	0.0000	
17351	4.8387	8.0645	0.0000	0.0000	0.0000	0.0000	0.0000	
17811	0.0000	5.8824	0.0000	0.0000	0.0000	0.0000	0.0000	
20771	0.0000	2.6042	2.0833	0.0000	3.6458	0.0000	0.0000	
3191	0.0000	0.0000	0.0000	0.0000	12.1951	0.0000	0.0000	
9401	0.0000	0.0000	0.0000	0.0000	21.4286	0.0000	0.0000	
9631	0.0000	0.0000	0.0000	0.0000	4.7619	0.0000	0.0000	
9771	0.0000	0.9615	0.0000	0.0000	6.7308	3.8462	0.0000	
9791	0.0000	0.0000	5.2632	0.0000	10.5263	0.0000	0.0000	
3900	0.0000	0.0000	1.9608	0.0000	3.9216	2.9412	0.0000	
14941	0.0000	0.5618	1.6854	0.0000	1.1236	0.0000	0.0000	
15061	0.0000	0.0000	2.4768	0.0000	5.2632	0.0000	0.0000	
15071	0.0000	0.3521	2.1127	0.0000	2.9930	0.0000	0.0000	
15081	0.0000	0.0000	1.7483	0.0000	1.0490	0.6993	0.0000	
19361	0.0000	0.0000	3.8462	0.0000	11.5385	0.0000	0.0000	
461	0.0000	0.0000	6.2500	0.0000	6.2500	0.0000	0.0000	
491	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
781	0.0000	0.0000	4.7619	0.0000	9.5238	0.0000	0.0000	
6211	0.0000	0.0000	5.2174	0.0000	6.9565	1.7391	0.0000	
6601	0.0000	0.0000	9.5238	0.0000	0.0000	0.0000	0.0000	
6641	2.2222	0.0000	4.4444	0.0000	4.4444	0.0000	0.0000	
7001	0.0000	0.0000	3.4483	0.0000	13.7931	0.0000	0.0000	
2060	0.0000	2.3529	4.7059	0.0000	7.0588	0.0000	0.0000	
2260	0.0000	0.0000	3.6364	0.0000	3.6364	0.0000	0.0000	
7421	0.0000	0.0000	13.7931	0.0000	13.7931	0.0000	0.0000	
2280	0.0000	0.0000	6.1538	0.0000	8.4615	0.7692	0.0000	
7741	0.0000	2.2222	3.3333	0.0000	6.6667	1.1111	0.0000	
8841	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13491	0.0000	7.6923	5.1282	0.0000	5.1282	0.0000	0.0000	
13691	0.0000	2.1429	5.0000	0.0000	7.8571	0.0000	0.0000	
14001	0.0000	0.0000	4.2105	0.0000	12.6316	0.0000	0.0000	
16701	0.0000	0.7812	3.9062	0.0000	4.6875	2.3438	0.0000	
7150	0.0000	1.9417	0.0000	0.0000	9.7087	0.9709	0.0000	
17121	0.0000	0.8772	5.2632	0.0000	7.0175	0.0000	0.0000	
7340	0.0000	6.6667	0.0000	0.0000	6.6667	6.6667	0.0000	
17681	0.0000	5.1948	6.4935	0.0000	10.3896	0.0000	0.0000	
19231	0.0000	2.9126	5.3398	0.0000	9.2233	0.0000	0.0000	
19301	0.0000	3.5714	3.5714	0.0000	10.7143	0.0000	0.0000	
12011	0.0000	0.0000	0.0000	0.0000	3.4965	0.0000	0.0000	
12051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
13351	0.0000	0.0000	3.5088	0.0000	5.2632	0.0000	0.0000	
17341	1.8182	2.7273	0.9091	0.0000	1.8182	0.9091	0.0000	
2921	0.0000	0.0000	4.0000	0.0000	8.0000	0.0000	0.0000	
3271	0.0000	0.0000	0.0000	0.0000	6.2500	0.0000	0.0000	
9351	0.0000	4.1667	6.2500	0.0000	6.2500	0.0000	0.0000	
9361	0.0000	1.1364	4.5455	0.0000	1.1364	1.1364	0.0000	
9391	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9441	0.0000	0.0000	0.0000	0.0000	2.2727	0.0000	0.0000	
9451	0.0000	0.0000	2.2727	0.0000	0.0000	0.0000	0.0000	
14881	0.0000	1.4085	2.8169	0.0000	1.4085	0.0000	0.0000	
14891	0.0000	3.4483	0.0000	0.0000	1.7241	0.0000	0.0000	
14901	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6160	0.0000	2.5000	0.0000	0.0000	2.5000	0.0000	0.0000	
15241	0.0000	2.7523	5.5046	0.0000	0.0000	0.0000	0.0000	
19211	0.0000	0.1880	3.5714	0.0000	6.7669	0.0000	0.0000	
19291	0.0000	0.2825	2.0716	0.0000	3.4840	0.1883	0.0000	
7350	0.0000	0.0000	1.1905	0.0000	4.1667	0.1984	0.0000	
421	0.0000	0.0000	4.4944	0.0000	8.9888	4.4944	0.0000	
791	0.0000	0.0000	4.5455	0.0000	9.0909	0.0000	0.0000	
2781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
690	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
720	0.0000	0.6667	1.3333	0.0000	1.3333	1.3333	0.0000	
850	0.0000	0.0000	1.5873	0.0000	4.2328	0.5291	0.0000	
920	0.0000	1.4493	0.0000	0.0000	4.3478	0.0000	0.0000	
930	0.0000	0.0000	2.7273	0.0000	6.8182	0.4545	0.0000	
3101	0.0000	1.2048	0.0000	0.0000	4.8193	0.0000	0.0000	
3151	0.0000	0.0000	9.0909	0.0000	9.0909	0.0000	0.0000	
8291	0.0000	0.0000	0.0000	0.0000	7.1429	0.0000	0.0000	
8391	0.0000	3.1579	0.0000	0.0000	4.2105	1.0526	0.0000	
3670	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
6051	0.0000	3.8462	0.0000	0.0000	5.7692	0.0000	0.0000	
6111	0.0000	2.8571	0.0000	0.0000	2.8571	0.7143	0.0000	
6491	0.0000	5.4054	0.0000	0.0000	0.0000	0.0000	0.0000	
11981	0.0000	0.0000	2.5641	0.0000	0.0000	0.0000	0.0000	
12001	0.0000	0.0000	8.3333	0.0000	0.0000	0.0000	0.0000	
12281	0.0000	0.0000	9.0909	0.0000	0.0000	0.0000	0.0000	
12881	0.0000	8.1081	2.7027	0.0000	2.7027	0.0000	0.0000	
12911	0.0000	6.9767	1.1628	0.0000	3.4884	0.0000	0.0000	
13101	0.0000	1.3889	2.7778	0.0000	4.1667	0.0000	0.0000	
13211	0.0000	0.0000	25.0000	0.0000	12.5000	0.0000	0.0000	
17321	0.0000	6.2500	0.0000	0.0000	12.5000	0.0000	0.0000	
2631	0.0000	2.4096	0.6024	1.2048	3.0120	0.0000	0.0000	
11941	0.0000	1.3245	0.6623	1.9868	1.3245	0.0000	0.0000	
11951	0.0000	5.0000	5.0000	0.0000	5.0000	0.0000	0.0000	
9281	0.0000	0.0000	0.0000	0.0000	1.6949	0.0000	0.0000	
9381	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
9731	0.0000	0.0000	0.6803	0.0000	0.6803	0.0000	0.0000	
9821	0.0000	0.0000	0.0000	5.0000	5.0000	5.0000	0.0000	
14851	0.0000	0.0000	0.0000	4.1667	8.3333	0.0000	0.0000	
15121	0.0000	0.0000	2.1277	0.0000	8.5106	0.0000	0.0000	
6280	0.0000	0.0000	5.8824	0.0000	20.5882	0.0000	0.0000	
6290	0.0000	0.0000	5.5556	0.0000	5.5556	0.0000	0.0000	
15171	0.0000	0.0000	0.0000	0.0000	6.0606	0.0000	0.0000	
19201	0.0000	0.0000	5.5046	0.9174	1.8349	0.0000	0.0000	
19221	0.0000	1.0753	1.0753	0.0000	6.4516	0.0000	0.0000	
7360	0.0000	1.5385	4.6154	0.0000	6.5385	0.3846	0.0000	
7380	0.0000	0.4831	2.8986	0.0000	10.6280	0.4831	0.0000	
7390	0.0000	0.0000	1.2048	0.0000	4.8193	0.0000	0.0000	
7420	0.0000	0.0000	3.6145	0.0000	7.2289	0.0000	0.0000	
7450	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
19311	0.0000	0.0000	6.4220	0.0000	12.8440	0.0000	0.0000	
19331	0.0000	0.0000	4.1667	0.0000	8.3333	0.0000	0.0000	
19341	0.0000	4.7619	4.7619	4.7619	9.5238	0.0000	0.0000	
19351	0.0000	0.0000	7.2464	1.4493	4.3478	0.0000	0.0000	
19421	0.0000	0.0000	0.0000	3.8462	19.2308	0.0000	0.0000	
19471	0.0000	0.7937	1.5873	2.3810	11.1111	0.0000	0.0000	
19861	0.0000	0.9901	3.9604	0.9901	8.9109	0.0000	0.0000	
7460	0.0000	0.0000	2.7778	0.0000	5.5556	0.0000	0.0000	
381	0.0000	0.0000	0.0000	0.0000	4.7619	0.0000	0.0000	
831	0.0000	0.0000	4.5455	0.0000	9.0909	0.0000	0.0000	
1001	0.0000	3.4483	0.0000	0.0000	3.4483	0.0000	0.0000	
3571	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
3621	0.0000	16.6667	0.0000	0.0000	0.0000	0.0000	0.0000	
7251	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5961	0.0000	0.0000	3.7037	0.0000	12.3457	0.0000	0.0000	
5981	0.0000	0.0000	4.2105	0.0000	8.4211	3.1579	0.0000	
1890	0.0000	0.0000	3.3708	0.0000	6.7416	2.2472	0.0000	
6061	0.0000	1.2579	1.2579	0.0000	9.4340	2.5157	0.0000	
6101	0.0000	0.3460	1.3841	0.3460	14.5329	2.0761	0.0000	
6311	0.0000	0.3484	2.4390	0.3484	7.6655	2.4390	0.0000	
6321	0.0000	0.0000	4.4715	0.0000	8.5366	2.8455	0.0000	
7071	0.0000	0.0000	3.6585	0.0000	13.4146	9.7561	0.0000	
7191	0.0000	0.0000	1.0309	0.0000	8.2474	1.0309	0.0000	
7221	0.0000	0.0000	3.2520	0.0000	10.5691	1.6260	0.0000	
7411	0.0000	0.0000	0.0000	0.0000	13.5135	0.0000	0.9009	
8271	0.0000	0.0000	3.8462	0.3497	12.2378	3.8462	0.0000	
11971	0.0000	10.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17291	0.0000	1.4634	0.0000	0.4878	4.3902	0.4878	0.0000	
17311	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17331	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17431	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17451	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17531	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17551	0.0000	0.0000	0.0000	0.0000	6.6667	0.0000	0.0000	
17571	0.0000	2.8986	0.0000	0.0000	5.7971	0.0000	0.0000	
17641	0.0000	0.0000	4.1667	2.0833	6.2500	0.0000	0.0000	
17781	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
17791	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
7060	0.0000	0.0000	0.0000	0.0000	4.7619	0.0000	0.0000	
17951	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
18311	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
2381	0.0000	4.0404	2.3569	0.3367	5.7239	0.0000	0.0000	
4171	0.0000	2.4390	2.4390	0.0000	2.4390	2.4390	0.0000	
1330	0.0000	0.0000	6.2500	0.0000	12.5000	6.2500	0.0000	
1440	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1510	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
1650	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1900	0.0000	0.0000	0.0000	0.0000	0.0000	14.2857	0.0000	
4261	0.0000	0.0000	3.7037	0.0000	7.4074	3.7037	0.0000	
1320	0.0000	0.0000	0.0000	4.0000	16.0000	0.0000	0.0000	
4271	0.0000	6.6667	0.0000	0.0000	0.0000	0.0000	0.0000	
1150	0.0000	3.1250	0.0000	0.0000	6.2500	0.0000	0.0000	
1730	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
1920	0.0000	3.4483	0.0000	0.0000	3.4483	0.0000	0.0000	
4080	0.0000	2.7523	0.9174	0.9174	0.9174	2.7523	0.0000	
4321	0.0000	1.8692	1.8692	0.0000	2.8037	0.9346	0.0000	
1160	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4681	0.0000	5.0725	4.3478	0.0000	5.0725	0.7246	0.0000	
1310	0.0000	2.4000	0.8000	0.0000	5.6000	0.0000	0.0000	
1560	0.0000	1.7544	0.0000	0.0000	7.0175	0.0000	0.0000	
4701	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
4961	0.0000	0.0000	0.0000	0.0000	2.7027	0.0000	0.0000	
5011	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5521	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5771	0.0000	0.0000	5.0000	0.0000	0.0000	0.0000	0.0000	
5791	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
5901	0.0000	0.0000	9.0909	0.0000	0.0000	0.0000	0.0000	
6011	0.0000	1.0870	4.3478	0.0000	4.3478	1.0870	0.0000	
6191	0.0000	5.2632	5.2632	0.0000	5.2632	0.0000	0.0000	
6371	0.0000	5.4054	0.0000	0.0000	5.4054	0.0000	0.0000	
7791	0.0000	0.0000	5.0000	0.0000	5.0000	0.0000	0.0000	
2480	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000	
8021	0.0000	0.0000	0.0000	0.0000	11.1111	0.0000	0.0000	
8521	0.0000	8.6957	0.0000	0.0000	4.3478	0.0000	0.0000	
