ID	FIRST	PREV	AVG	MIN	MAX	STDEV
9521	0.1316	0.0773	0.0526	0.0000	0.2595	0.0457
3230	0.1489	0.1871	0.0514	0.0000	0.1980	0.0555
3280	0.1023	0.4080	0.0740	0.0000	0.4080	0.0735
3300	0.0528	0.1880	0.0333	0.0000	0.1880	0.0382
3320	0.2373	0.0181	0.0411	0.0000	0.2373	0.0468
9891	0.1262	0.0218	0.0558	0.0000	0.2106	0.0437
3560	0.0313	0.1337	0.0267	0.0000	0.1337	0.0288
10011	0.1411	0.0036	0.0362	0.0000	0.1537	0.0310
10151	0.1651	0.0109	0.0806	0.0000	0.2502	0.0582
10371	0.1843	0.1198	0.0534	0.0000	0.2332	0.0545
13441	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
13501	0.2925	0.2925	0.2925	0.2925	0.2925	0.0000
5430	0.0408	0.0390	0.0399	0.0390	0.0408	0.0012
6310	0.1026	0.1529	0.1470	0.1026	0.1857	0.0418
6350	0.1876	0.3030	0.2299	0.1492	0.3030	0.0734
13751	0.1712	0.0805	0.1313	0.0182	0.3075	0.1126
5980	0.2452	0.1900	0.1613	0.0247	0.2452	0.0789
14311	0.1898	0.4877	0.2721	0.1063	0.4877	0.1462
18271	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
4971	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
5271	0.0978	0.0978	0.0978	0.0978	0.0978	0.0000
5301	0.0142	0.0759	0.0451	0.0142	0.0759	0.0436
6691	0.1426	0.0084	0.0981	0.0084	0.1432	0.0777
2020	0.0443	0.3222	0.0984	0.0000	0.3222	0.1503
6791	0.0415	0.0242	0.0222	0.0040	0.0415	0.0137
10601	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
10721	0.2042	0.2042	0.2042	0.2042	0.2042	0.0000
10751	0.0357	0.0123	0.0240	0.0123	0.0357	0.0166
12741	0.2757	0.0307	0.1762	0.0307	0.2757	0.1288
12861	0.2793	0.2204	0.1702	0.0390	0.2793	0.1040
16051	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
17021	0.0724	0.0724	0.0724	0.0724	0.0724	0.0000
17051	0.0031	0.0726	0.0378	0.0031	0.0726	0.0491
17071	0.2369	0.0453	0.1053	0.0337	0.2369	0.1141
6860	0.2829	0.1265	0.1260	0.0024	0.2829	0.1170
7170	0.2113	0.1461	0.1380	0.0000	0.2691	0.1087
20621	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
20761	0.0673	0.0673	0.0673	0.0673	0.0673	0.0000
7740	0.2603	0.1001	0.1802	0.1001	0.2603	0.1132
20871	0.1831	0.2996	0.1981	0.1116	0.2996	0.0949
7750	0.1612	0.2037	0.1980	0.0923	0.3348	0.1021
20941	0.1348	0.0811	0.1348	0.0393	0.2459	0.0803
7760	0.1521	0.1867	0.1301	0.0517	0.1867	0.0604
20951	0.2038	0.1720	0.2002	0.0673	0.2943	0.0762
20961	0.0796	0.2142	0.1543	0.0492	0.2269	0.0778
21251	0.2136	0.2222	0.2111	0.0660	0.3044	0.0859
21261	0.1065	0.2761	0.1361	0.0421	0.2761	0.0663
21281	0.0811	0.1193	0.1138	0.0382	0.1983	0.0544
21421	0.2901	0.2058	0.2432	0.1170	0.4764	0.1011
21461	0.0250	0.1073	0.0829	0.0044	0.1622	0.0506
22111	0.1087	0.1221	0.1620	0.1087	0.2316	0.0417
1151	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
1181	0.3074	0.3074	0.3074	0.3074	0.3074	0.0000
200	0.0695	0.0259	0.0477	0.0259	0.0695	0.0308
210	0.2496	0.0432	0.1455	0.0432	0.2496	0.1032
1371	0.3336	0.1985	0.2104	0.0521	0.3336	0.1192
1381	0.0864	0.1394	0.0623	0.0001	0.1394	0.0601
280	0.0147	0.0000	0.0035	0.0000	0.0147	0.0056
520	0.1916	0.1775	0.1265	0.0264	0.2107	0.0730
1380	0.0099	0.1177	0.1025	0.0001	0.6624	0.2297
4451	0.2448	0.0017	0.1500	0.0017	0.3554	0.1378
4461	0.2579	0.3759	0.1755	0.0037	0.3759	0.1341
6431	0.3069	0.2383	0.1749	0.0067	0.3069	0.1079
7671	0.0000	0.0000	0.0000	0.0000	0.0000	0.0000
7691	0.3697	0.3697	0.3697	0.3697	0.3697	0.0000
8001	0.1754	0.2887	0.2320	0.1754	0.2887	0.0801
8241	0.2447	0.1244	0.2343	0.1244	0.3339	0.1051
2670	0.0324	0.0302	0.0249	0.0111	0.0324	0.0096
