ID	TOTAL PRON	AUXILIARY VERBS	1ST SINGULAR	3RD PLURAL	UNIQUE	NUMBERS	PREPOSITIONS	TOTAL 2ND	CONJUNCTIONS	ARTICLES	SWEAR WORDS	ABBREVIATIONS	1ST PLURAL	FUNCTION WORDS	3RD SINGULAR	SIXLTR	FUTURE TENSE	PERSONAL PRON	QUANTIFIERS	WPS	PRESENT TENSE	NEGATIONS	IMPERSONAL PRON	ADVERBS	PAST TENSE	COMMON VERBS	
19881	13.5135	9.4595	4.0541	1.3514	78.3784	1.3514	10.8108	0.0000	5.4054	8.1081	0.0000	0.0000	0.0000	55.4054	0.0000	20.2703	2.7027	5.4054	4.0541	74.0000	9.4595	0.0000	8.1081	4.0541	0.0000	13.5135	
7480	6.4865	6.4865	0.5405	0.0000	72.9730	1.6216	12.4324	0.5405	7.0270	10.2703	0.0000	0.0000	0.5405	48.1081	0.0000	17.2973	1.0811	1.6216	3.2432	30.8333	4.8649	1.6216	4.8649	2.7027	2.7027	9.7297	
19901	9.0909	7.4866	1.6043	0.5348	67.9144	0.5348	8.5561	1.0695	5.3476	9.6257	0.0000	0.0000	0.0000	44.3850	0.0000	26.7380	1.0695	3.2086	3.2086	23.3750	7.4866	0.5348	5.8824	3.7433	1.6043	10.1604	
19931	23.5294	0.0000	5.8824	0.0000	100.0000	0.0000	5.8824	0.0000	5.8824	5.8824	0.0000	0.0000	0.0000	47.0588	0.0000	17.6471	0.0000	5.8824	0.0000	4.2500	11.7647	0.0000	17.6471	5.8824	5.8824	17.6471	
20381	21.2766	8.5106	10.6383	0.0000	78.7234	2.1277	17.0213	0.0000	8.5106	2.1277	0.0000	0.0000	0.0000	59.5745	0.0000	8.5106	2.1277	10.6383	4.2553	15.6667	10.6383	0.0000	10.6383	0.0000	2.1277	14.8936	
521	5.7471	11.4943	1.1494	0.0000	75.8621	3.4483	14.9425	0.0000	5.7471	11.4943	0.0000	0.0000	0.0000	52.8736	1.1494	24.1379	2.2989	2.2989	1.1494	17.4000	12.6437	3.4483	3.4483	3.4483	1.1494	19.5402	
591	14.0625	6.2500	0.0000	0.0000	58.5938	1.5625	15.6250	1.5625	3.9062	14.0625	0.0000	0.0000	6.2500	58.5938	0.0000	17.9688	0.0000	7.8125	2.3438	14.2222	13.2812	0.7812	6.2500	2.3438	0.0000	14.0625	
901	9.5238	4.7619	7.1429	0.0000	83.3333	0.0000	19.0476	0.0000	4.7619	9.5238	0.0000	0.0000	0.0000	47.6190	0.0000	16.6667	0.0000	7.1429	0.0000	10.5000	14.2857	0.0000	2.3810	0.0000	2.3810	16.6667	
1571	10.1695	5.0847	5.0847	0.0000	77.9661	3.3898	16.9492	0.0000	0.0000	8.4746	0.0000	0.0000	1.6949	55.9322	0.0000	25.4237	1.6949	6.7797	10.1695	59.0000	5.0847	0.0000	3.3898	3.3898	1.6949	8.4746	
2341	9.0909	13.6364	4.5455	0.0000	95.4545	0.0000	9.0909	0.0000	9.0909	0.0000	0.0000	0.0000	0.0000	59.0909	0.0000	31.8182	0.0000	4.5455	13.6364	11.0000	18.1818	4.5455	4.5455	4.5455	0.0000	18.1818	
