ID	ABSOLUTE_MOD	RELATIVE_MOD
5311	1.0000	0.0294
5341	1.0000	0.0278
6501	2.0000	0.0159
6551	0.0000	0.0000
10541	4.0000	0.0152
10551	4.0000	0.0098
10931	2.0000	0.0308
11021	0.0000	0.0000
4090	4.0000	0.0482
11501	1.0000	0.0089
11521	1.0000	0.0097
4110	0.0000	0.0000
4650	0.0000	0.0000
4720	1.0000	0.0064
11781	0.0000	0.0000
11961	2.0000	0.0143
12331	0.0000	0.0000
4730	0.0000	0.0000
12441	0.0000	0.0000
15931	1.0000	0.0294
18971	0.0000	0.0000
7940	0.0000	0.0000
19011	0.0000	0.0000
19111	1.0000	0.0222
19151	5.0000	0.0431
19181	0.0000	0.0000
7580	0.0000	0.0000
19191	0.0000	0.0000
19401	1.0000	0.0130
19441	0.0000	0.0000
19511	1.0000	0.0067
19571	1.0000	0.0127
19601	0.0000	0.0000
19611	4.0000	0.0255
19631	0.0000	0.0000
19641	0.0000	0.0000
19661	3.0000	0.0192
19691	0.0000	0.0000
19821	0.0000	0.0000
19851	0.0000	0.0000
19891	1.0000	0.0244
7510	0.0000	0.0000
19921	1.0000	0.0435
19941	3.0000	0.0248
7860	2.0000	0.0769
20061	1.0000	0.0385
20081	1.0000	0.0417
20121	1.0000	0.0526
20131	0.0000	0.0000
20151	2.0000	0.0175
20181	1.0000	0.0122
20191	1.0000	0.0167
20211	1.0000	0.0217
20221	0.0000	0.0000
20231	1.0000	0.0133
20251	1.0000	0.0200
20261	1.0000	0.0370
20281	1.0000	0.0294
20301	0.0000	0.0000
20311	6.0000	0.0131
20321	4.0000	0.0426
20331	1.0000	0.0098
20361	2.0000	0.0235
20371	1.0000	0.0147
20401	0.0000	0.0000
20461	0.0000	0.0000
20471	0.0000	0.0000
20651	0.0000	0.0000
20661	0.0000	0.0000
20671	0.0000	0.0000
20831	0.0000	0.0000
20911	0.0000	0.0000
21011	0.0000	0.0000
21021	1.0000	0.0100
21031	0.0000	0.0000
21131	0.0000	0.0000
21141	0.0000	0.0000
21151	6.0000	0.0195
21161	2.0000	0.0500
21171	0.0000	0.0000
21181	1.0000	0.0357
21191	0.0000	0.0000
21211	1.0000	0.0303
21271	0.0000	0.0000
21291	1.0000	0.0294
21301	0.0000	0.0000
21351	0.0000	0.0000
21361	0.0000	0.0000
21401	0.0000	0.0000
21411	3.0000	0.0184
21501	0.0000	0.0000
21511	0.0000	0.0000
21521	0.0000	0.0000
21541	1.0000	0.0333
21581	0.0000	0.0000
21591	0.0000	0.0000
21601	0.0000	0.0000
21621	1.0000	0.0154
21651	0.0000	0.0000
21671	1.0000	0.0179
21681	1.0000	0.0270
21831	2.0000	0.0194
21901	0.0000	0.0000
