ID	DAYS	HOURS	MINUTES
5950	2.0000	38.0000	2249.0000
18421	7.0000	152.0000	9073.0000
18451	7.0000	147.0000	8815.0000
5061	7.0000	148.0000	8870.0000
5091	7.0000	148.0000	8833.0000
5421	6.0000	140.0000	8354.0000
10681	3.0000	53.0000	3178.0000
10701	3.0000	53.0000	3129.0000
11831	1.0000	15.0000	880.0000
12141	1.0000	2.0000	61.0000
16101	2.0000	37.0000	2211.0000
16151	2.0000	28.0000	1629.0000
16201	2.0000	26.0000	1512.0000
6780	1.0000	11.0000	620.0000
7010	4.0000	96.0000	5720.0000
16391	1.0000	20.0000	1194.0000
16851	9.0000	208.0000	12424.0000
18901	3.0000	71.0000	4222.0000
20751	2.0000	29.0000	1714.0000
21311	6.0000	137.0000	8187.0000
21331	6.0000	129.0000	7705.0000
1231	9.0000	214.0000	12819.0000
1301	9.0000	213.0000	12769.0000
1411	9.0000	212.0000	12664.0000
1501	9.0000	209.0000	12527.0000
1511	9.0000	209.0000	12515.0000
3351	8.0000	183.0000	10946.0000
7821	2.0000	37.0000	2174.0000
7971	2.0000	30.0000	1763.0000
9751	5.0000	120.0000	7171.0000
10181	4.0000	78.0000	4656.0000
3710	4.0000	78.0000	4644.0000
13551	5.0000	100.0000	5948.0000
14091	3.0000	53.0000	3128.0000
18391	7.0000	162.0000	9671.0000
11	15.0000	341.0000	20424.0000
5001	7.0000	149.0000	8915.0000
5691	6.0000	129.0000	7740.0000
10641	3.0000	55.0000	3295.0000
10651	3.0000	55.0000	3263.0000
16081	2.0000	41.0000	2440.0000
21201	7.0000	146.0000	8742.0000
21221	6.0000	144.0000	8603.0000
21231	6.0000	143.0000	8566.0000
7850	6.0000	142.0000	8506.0000
21371	6.0000	122.0000	7272.0000
21631	4.0000	85.0000	5061.0000
1201	9.0000	215.0000	12854.0000
1211	9.0000	214.0000	12822.0000
4781	7.0000	161.0000	9619.0000
7731	2.0000	40.0000	2348.0000
13451	5.0000	107.0000	6365.0000
13471	5.0000	106.0000	6332.0000
13481	5.0000	106.0000	6320.0000
5420	5.0000	106.0000	6308.0000
13651	4.0000	94.0000	5640.0000
13731	4.0000	83.0000	4949.0000
